V IMP 2 PL щ е к о т а т ь	щ е к о ч и т е	щ е к о т а й т е
N INS SG ч а с о в о й	ч а с о в ы м	ч а с о в о м
V FUT 1 SG с и м п а т и з и р о в а т ь	б у д у с и м п а т и з и р о в а т ь	б у д у с и м п а т и з и р о в а т ь
N DAT PL б а т ю ш к а	б а т ю ш к а м	б а т ю ш к а м
V FUT 3 SG п р и д р а т ь с я	п р и д е р е т с я	п р и д е р и т с я
V FUT 2 SG н а з р е т ь	н а з р е е ш ь	н а з р е ш ь
N ACC SG ш а р и а т	ш а р и а т	ш а р и а т
N INS SG з а м ы с е л	з а м ы с л о м	з а м ы с е л о м
V PRS 1 PL в ы н а ш и в а т ь	в ы н а ш и в а е м	в ы н а ш и в а е м
V PRS 3 PL р а з р у ш а т ь с я	р а з р у ш а ю т с я	р а з р у ш а ю т с я
N DAT SG ч т е н и е	ч т е н и ю	ч т е н и ю
N ACC PL б о л а	б о л ы	б о л ы
ADJ ESS FEM SG п р о б н ы й	п р о б н о й	п р о б н о й
N ACC SG д в о ю р о д н ы й д е д	д в о ю р о д н о г о д е д а	д в о ю р о д н ы й д е д
ADJ GEN PL д н е в н о й	д н е в н ы х	д н е в н ы х
N ESS SG п о ж н я	п о ж н е	п о ж н е
ADJ INS NEUT SG п о р т н о в с к и й	п о р т н о в с к и м	п о р т н о в с к и м
V.PTCP ACT PST р я в к а т ь	р я в к а в ш и й	р я в к а в ш и й
N INS SG к у л ь м и н а ц и я	к у л ь м и н а ц и е й	к у л ь м и н а ц и е й
V PRS 3 SG у к у т ы в а т ь	у к у т ы в а е т	у к у т ы в а е т
ADJ NOM MASC SG в л и я т е л ь н ы й	в л и я т е л ь н ы й	в л и я т е л ь н ы й
ADJ GEN MASC SG в н е ш н е э к о н о м и ч е с к и й	в н е ш н е э к о н о м и ч е с к о г о	в н е ш н е э к о н о м и ч е с к о г о
ADJ DAT FEM SG п о н я т л и в ы й	п о н я т л и в о й	п о н я т л и в о й
V FUT 2 SG з а р ы т ь с я	з а р о е ш ь с я	з а р о е ш ь с я
N ESS SG б у л к а	б у л к е	б у л к е
V IMP 2 PL в з д ё р н у т ь	в з д ё р н и т е	в з д е р н и т е
V PST SG NEUT ш е с т в о в а т ь	ш е с т в о в а л о	ш е с т в о в а л о
V PST SG FEM с г р е с т и	с г р е б л а	с г р е л а
V.PTCP PASS PRS в ы п а л и в а т ь	в ы п а л и в а е м ы й	в ы п а л и в а е м ы й
N NOM PL п о в и д л о	п о в и д л а	п о в и д л а
ADJ INS PL ж е л е з о б е т о н н ы й	ж е л е з о б е т о н н ы м и	ж е л е з о б е т о н н ы м и
ADJ GEN MASC SG в е п с с к и й	в е п с с к о г о	в е п с с к о г о
ADJ ACC FEM SG в ы ц в е т ш и й	в ы ц в е т ш у ю	в ы ц в е т ш у ю
ADJ INAN ACC MASC SG р о ж д е с т в е н с к и й	р о ж д е с т в е н с к и й	р о ж д е с т в е н с к и й
ADJ ACC ANIM PL м и с с и о н е р с к и й	м и с с и о н е р с к и х	м и с с и о н е р с к и х
V PST PL в ы ц в е т а т ь	в ы ц в е т а л и	в ы ц в е т а л и
ADJ DAT FEM SG б ю д ж е т н ы й	б ю д ж е т н о й	б ю д ж е т н о й
V PST SG FEM с к о м б и н и р о в а т ь	с к о м б и н и р о в а л а	с к о м б и н и р о в а л а
V FUT 3 SG н а к а ч и в а т ь	б у д е т н а к а ч и в а т ь	б у д е т н а к а ч и в а т ь
V.PTCP ACT PST о б ы г р ы в а т ь	о б ы г р ы в а в ш и й	о б ы г р ы в а в ш и й
ADJ ANIM ACC MASC SG с е т е в о й	с е т е в о г о	с е т е в о г о
V.PTCP PASS PRS п е р е г о н я т ь	п е р е г о н я е м ы й	п е р е г о н я е м ы й
ADJ GEN MASC SG м у н и ц и п а л ь н ы й	м у н и ц и п а л ь н о г о	м у н и ц и п а л ь н о г о
ADJ DAT PL б а в а р с к и й	б а в а р с к и м	б а в а р с к и м
ADJ INAN ACC MASC SG в е с л о н о г и й	в е с л о н о г и й	в е с л о н о г и й
N INS SG к о к о с о в а я п а л ь м а	к о к о с о в о й п а л ь м о й	к о к о с о в о й п а л ь м о й
N INS SG т е г	т е г о м	т е г о м
ADJ ESS MASC SG и з н е ж е н н ы й	и з н е ж е н н о м	и з н е ж е н н о м
ADJ INAN ACC MASC SG н е т е р п и м ы й	н е т е р п и м ы й	н е т е р п и м ы й
ADJ ACC NEUT SG с у с т а в н ы й	с у с т а в н о е	с у с т а в н о е
V FUT 1 PL у д е л я т ь	б у д е м у д е л я т ь	б у д е м у д е л я т ь
V PST SG MASC в я з а т ь с я	в я з а л с я	в я з а л с я
V PRS 1 SG р а с к а т ы в а т ь	р а с к а т ы в а ю	р а с к а т ы в а ю
ADJ DAT MASC SG у т е ш и т е л ь н ы й	у т е ш и т е л ь н о м у	у т е ш и т е л ь н о м у
ADJ NOM FEM SG б а р с к и й	б а р с к а я	б а р с к а я
N INS PL т р а н с п о р т н о е с р е д с т в о	т р а н с п о р т н ы м и с р е д с т в а м и	т р а н с п о р т н ы м и с р е д с т в а м и
V IMP 2 SG о б р и с о в ы в а т ь	о б р и с о в ы в а й	о б р и с о в ы в а й
N ACC SG п о л ч а с а	п о л ч а с а	п о л ч а с у
N DAT SG д о ч е н ь к а	д о ч е н ь к е	д о ч е н ь к е
ADJ ACC FEM SG ц а р с т в е н н ы й	ц а р с т в е н н у ю	ц а р с т в е н н у ю
V.CVB PRS з а т а ч и в а т ь	з а т а ч и в а я	з а т а ч и в а я
V FUT 2 SG д о л б а н у т ь	д о л б а н е ш ь	д о л б а н е ш ь
N ESS SG а б в е р	а б в е р е	а б в е р е
N DAT PL т р у д н о с т ь	т р у д н о с т я м	т р у д н о с т я м
N DAT PL г р е х	г р е х а м	г р е х а м
V PST PL х л о п н у т ь	х л о п н у л и	х л о п н у л и
V IMP 2 SG п о д н е с т и	п о д н е с и	п о д н е с и
N INS SG п о б е г	п о б е г о м	п о б е г о м
V IMP 2 PL р а с с т е л и т ь с я	р а с с т е л и т е с ь	р а с с т е л ь т е с ь
ADJ INS NEUT SG н е о т р ы в н ы й	н е о т р ы в н ы м	н е о т р ы в н ы м
N NOM SG с п и ц а	с п и ц а	с п и ц а
V FUT 2 PL п р о ц е д и т ь	п р о ц е д и т е	п р о ц е д и т е
ADJ ACC ANIM PL и з у м л ё н н ы й	и з у м л ё н н ы х	и з у м л ё н н ы х
N GEN SG а б д е р и т	а б д е р и т а	а б д е р и т а
V FUT 3 PL п е р е с е л я т ь с я	б у д у т п е р е с е л я т ь с я	б у д у т п е р е с е л я т ь с я
V PST SG NEUT т р е п а т ь с я	т р е п а л о с ь	т р е п а л о с ь
ADJ ESS FEM SG т о ш н ы й	т о ш н о й	т о ш н о й
N ESS PL с п е к т р	с п е к т р а х	с п е к т р а х
N ACC PL г а л и о т и с	г а л и о т и с о в	г а л и о т и с ы
N ESS PL б ё д р ы ш к о	б ё д р ы ш к а х	б ё д р ы ш к а х
V.PTCP INS FEM SG о г о р ч ё н н ы й	о г о р ч ё н н о й	о г о р ч ё н н о й
N ACC SG р е н и й	р е н и й	р е н и й
N INS PL в а х т ё р	в а х т ё р а м и	в а х т ё р а м и
V FUT 1 PL п о и н т е р е с о в а т ь с я	п о и н т е р е с у е м с я	п о и н т е р е с у е м с я
ADJ PL LGSPEC1 п и к а н т н ы й	п и к а н т н ы	п и к а н т н ы
N ESS PL д в о ю р о д н ы й д я д я	д в о ю р о д н ы х д я д я х	д в о ю р о д н ы х д я д я х
ADJ DAT FEM SG в ы б о р о ч н ы й	в ы б о р о ч н о й	в ы б о р о ч н о й
V IMP 2 SG п р и м ы к а т ь	п р и м ы к а й	п р и м ы к а й
N DAT SG п о с о л ь с т в о	п о с о л ь с т в у	п о с о л ь с т в у
N GEN SG ж ё с т к и й д и с к	ж ё с т к о г о д и с к а	ж ё с т к и г д и с к а
V PST PL р а з м а х н у т ь с я	р а з м а х н у л и с ь	р а з м а х н у л и с ь
ADJ INS MASC SG з л о п а м я т н ы й	з л о п а м я т н ы м	з л о п а м я т н ы м
V.PTCP PASS PST о т с т р е л я т ь	о т с т р е л я н н ы й	о т с т р е л я н н ы й
ADJ NOM MASC SG н е ж д а н н ы й	н е ж д а н н ы й	н е ж д а н н ы й
ADJ MASC SG LGSPEC1 с о з в у ч н ы й	с о з в у ч е н	с о з в у ч е н
N DAT SG с т а ф и л о к о к к	с т а ф и л о к о к к у	с т а ф и л о к к у
N GEN SG б р а ч у щ и е с я	б р а ч у щ и х с я	б р а ч у щ и х с я
V PST PL п о д в ы п и т ь	п о д в ы п и л и	п о д в ы п и л и
ADJ INS PL п р и с к о р б н ы й	п р и с к о р б н ы м и	п р и с к о р б н ы м и
ADJ GEN PL д е л ь н ы й	д е л ь н ы х	д е л ь н ы х
ADJ ESS PL с п о н т а н н ы й	с п о н т а н н ы х	с п о н т а н н ы х
ADJ NOM NEUT SG з н а ч и т е л ь н ы й	з н а ч и т е л ь н о е	з н а ч и т е л ь н о е
N NOM PL г р у б б е р	г р у б б е р ы	г р у б б е р ы
V IMP 2 PL з а м к н у т ь с я	з а м к н и т е с ь	з а м к н и т е с ь
V NFIN н а с т о р о ж и т ь	н а с т о р о ж и т ь	н а с т о р о ж и т ь
ADJ NEUT SG LGSPEC1 н е з а т е й л и в ы й	н е з а т е й л и в о	н е з а т е й л и в о
N INS PL н а б р о с о к	н а б р о с к а м и	н а б р о с к а м и
V PST SG NEUT с е д е т ь	с е д е л о	с е д е л о
N INS SG к о ж и ц а	к о ж и ц е й	к о ж и ц е й
V FUT 1 SG в о з д в и г а т ь	б у д у в о з д в и г а т ь	б у д у в о з д в и г а т ь
ADJ NEUT SG LGSPEC1 т у с к л ы й	т у с к л о	т у с к л о
N DAT SG б е з д е л у ш к а	б е з д е л у ш к е	б е з д е л у ш к е
ADJ ACC INAN PL д о б р о д у ш н ы й	д о б р о д у ш н ы е	д о б р о д у ш н ы е
N ACC PL н е д е р ж а н и е м о ч и	н е д е р ж а н и я м о ч и	н е д е р ж а н и я м о ч и
N DAT PL я з ы к о в а я с е м ь я	я з ы к о в ы м с е м ь я м	я з ы к о в ы м с е м ь я м
ADJ INS NEUT SG г о н о ч н ы й	г о н о ч н ы м	г о н о ч н ы м
N INS SG и д и о т и з м	и д и о т и з м о м	и д и о т и з м о м
ADJ NOM MASC SG к р а с н е н ь к и й	к р а с н е н ь к и й	к р а с н е н ь к и й
N NOM PL д е с я т и н а	д е с я т и н ы	д е с я т и н ы
ADJ ESS FEM SG с ы р о й	с ы р о й	с ы р о й
N GEN PL ч е м е р и ц а	ч е м е р и ц	ч е м е р и ц
V NFIN д о к о п а т ь с я	д о к о п а т ь с я	д о к о п а т ь с я
V PRS 3 SG с т я г и в а т ь	с т я г и в а е т	с т я г и в а е т
ADJ INS PL х а л я в н ы й	х а л я в н ы м и	х а л я в н ы м и
V IMP 2 PL п р о с т и т ь с я	п р о с т и т е с ь	п р о с т и т е с ь
ADJ GEN FEM SG в з б а л м о ш н ы й	в з б а л м о ш н о й	в з б а л м о ш н о й
V PST SG MASC р а с т е р е т ь	р а с т ё р	р а с т ё р е л
ADJ GEN PL с а н с к р и т с к и й	с а н с к р и т с к и х	с а н с к р и т с к и х
ADJ ESS MASC SG и с к у с н ы й	и с к у с н о м	и с к у с н о м
V PST SG MASC о б о с н о в а т ь	о б о с н о в а л	о б о с н о в а л
ADJ INS NEUT SG с т р о г а н н ы й	с т р о г а н н ы м	с т р о г а н н ы м
ADJ FEM SG LGSPEC1 б р о н и р о в а н н ы й	б р о н и р о в а н а	б р о н и р о в а н н а
ADJ ESS PL б р и т а н с к и й	б р и т а н с к и х	б р и т а н с к и х
V PRS 2 PL б е л и т ь	б е л и т е	б е л и т е
ADJ ESS MASC SG н е у к р о т и м ы й	н е у к р о т и м о м	н е у к р о т и м о м
ADJ ACC NEUT SG о б л е г ч ё н н ы й	о б л е г ч ё н н о е	о б л е г ч ё н н о е
V PRS 1 SG п р и у ч а т ь	п р и у ч а ю	п р и у ч а ю
ADJ NOM MASC SG к в а л и ф и к а ц и о н н ы й	к в а л и ф и к а ц и о н н ы й	к в а л и ф и к а ц и о н н ы й
N GEN SG к о р о в а	к о р о в ы	к о р о в ы
ADJ GEN MASC SG м у ж е с т в е н н ы й	м у ж е с т в е н н о г о	м у ж е с т в е н н о г о
ADJ ACC INAN PL в р а ж е с к и й	в р а ж е с к и е	в р а ж е с к и е
ADJ ESS NEUT SG р е л и г и о з н ы й	р е л и г и о з н о м	р е л и г и о з н о м
V FUT 3 PL к о с т и т ь	б у д у т к о с т и т ь	б у д у т к о с т и т ь
ADJ NOM MASC SG с о к р у ш ё н н ы й	с о к р у ш ё н н ы й	с о к р у ш ё н н ы й
V.CVB PRS п р и к л а д ы в а т ь	п р и к л а д ы в а я	п р и к л а д ы в а я
V FUT 3 PL з а п е ч а т ы в а т ь	б у д у т з а п е ч а т ы в а т ь	б у д у т з а п е ч а т ы в а т ь
ADJ NEUT SG LGSPEC1 ф а н е р н ы й	ф а н е р н о	ф а н е р н о
V PST SG NEUT п е р е б е ж а т ь	п е р е б е ж а л о	п е р е б е ж а л о
ADJ NOM MASC SG н а у ч н о - и с с л е д о в а т е л ь с к и й	н а у ч н о - и с с л е д о в а т е л ь с к и й	н а у ч н о - и с с л е д о в а т е л ь с к и й
ADJ NOM FEM SG в н е ш н е т о р г о в ы й	в н е ш н е т о р г о в а я	в н е ш н е т о р г о в а я
N INS SG а н и л и н	а н и л и н о м	а н и л и н о м
ADJ ESS MASC SG ф а ш и с т с к и й	ф а ш и с т с к о м	ф а ш и с т с к о м
ADJ NEUT SG LGSPEC1 э ф ф е к т и в н ы й	э ф ф е к т и в н о	э ф ф е к т и в н о
V.PTCP ACT PST о т к у с и т ь	о т к у с и в ш и й	о т к у с и в ш и й
V FUT 1 SG п е р е м е щ а т ь	б у д у п е р е м е щ а т ь	б у д у п е р е м е щ а т ь
N ESS PL ц и р ю л ь н и к	ц и р ю л ь н и к а х	ц и р ю л ь н и к а х
V IMP 2 SG о т в а л и т ь	о т в а л и	о т в а л и
ADJ ESS PL п а т р у л ь н ы й	п а т р у л ь н ы х	п а т р у л ь н ы х
ADJ DAT NEUT SG п и щ е в о й	п и щ е в о м у	п и щ е в о м у
ADJ DAT NEUT SG с п е ц и а л ь н ы й	с п е ц и а л ь н о м у	с п е ц и а л ь н о м у
ADJ ESS MASC SG а с т р а л ь н ы й	а с т р а л ь н о м	а с т р а л ь н о м
ADJ ESS FEM SG т а к н а з ы в а е м ы й	т а к н а з ы в а е м о й	т а к н а з ы в а е м о й
V PRS 2 SG в о с с о е д и н я т ь	в о с с о е д и н я е ш ь	в о с с о е д и н я е ш ь
V FUT 2 SG п р о г о в о р и т ь с я	п р о г о в о р и ш ь с я	п р о г о в о р и ш ь с я
N DAT PL а л ь м а н а х	а л ь м а н а х а м	а л ь м а н а х
V.CVB PRS х а л т у р и т ь	х а л т у р я	х а л т у р я
ADJ NOM PL п е р в о н а ч а л ь н ы й	п е р в о н а ч а л ь н ы е	п е р в о н а ч а л ь н ы е
V PST SG MASC п о д с т у п а т ь	п о д с т у п а л	п о д с т у п а л
ADJ GEN FEM SG з е м н о й	з е м н о й	з е м н о й
V FUT 2 SG п о з о л о т и т ь	п о з о л о т и ш ь	п о з о л о т и ш ь
N GEN SG п о ч в а	п о ч в ы	п о ч в ы
V FUT 1 PL о п о я с ы в а т ь	б у д е м о п о я с ы в а т ь	б у д е м о п о я с ы в а т ь
ADJ INS FEM SG р е ш ё н н ы й	р е ш ё н н о й	р е ш ё н н о й
ADJ GEN PL н е л и н е й н ы й	н е л и н е й н ы х	н е л и н е й н ы х
V.CVB PST п р и б л и ж а т ь	п р и б л и ж а в	п р и б л и ж а в
V.CVB PRS о з а р я т ь	о з а р я я	о з а р я я
ADJ ESS FEM SG у в а ж и т е л ь н ы й	у в а ж и т е л ь н о й	у в а ж и т е л ь н о й
N NOM SG п и с ь м е н н о с т ь	п и с ь м е н н о с т ь	п и с ь м е н н о с т ь
N ACC SG м е т а н	м е т а н	м е т а н
V.CVB PRS з а п е к а т ь	з а п е к а я	з а п е к а я
V IMP 2 SG к л у б и т ь с я	к л у б и с ь	к л у б и с ь
ADJ INS NEUT SG э к с т р а в а г а н т н ы й	э к с т р а в а г а н т н ы м	э к с т р а в а г а н т н ы м
V FUT 2 SG п р о с м о т р е т ь с я	п р о с м о т р и ш ь с я	п р о с м о т р и ш ь с я
N INS PL п о п р и щ е	п о п р и щ а м и	п о п р и щ а м и
N NOM PL р а с с у ж д е н и е	р а с с у ж д е н и я	р а с с у ж д е н и я
ADJ DAT FEM SG и г р о в о й	и г р о в о й	и г р о в о й
ADJ DAT MASC SG п о ч ё т н ы й	п о ч ё т н о м у	п о ч ё т н о м у
V IMP 2 SG р ы т ь с я	р о й с я	р о й с я
N ESS PL б р а т е ц	б р а т ц а х	б р а т ц а х
ADJ INS MASC SG с л а д о с т н ы й	с л а д о с т н ы м	с л а д о с т н ы м
ADJ ESS PL э к с п о р т н ы й	э к с п о р т н ы х	э к с п о р т н ы х
V.CVB PRS с к о л ь з и т ь	с к о л ь з я	с к о л ь з я
V.CVB PST к л я н ч и т ь	к л я н ч и в	к л я н ч и в
V PRS 3 PL п р о в о ц и р о в а т ь	п р о в о ц и р у ю т	п р о в о ц и р у ю т
N INS SG п е й з а н и н	п е й з а н и н о м	п е й з а н и н о м
N INS SG л а п с е р д а к	л а п с е р д а к о м	л а п с е р д а к о м
ADJ INS FEM SG н е п р а в и т е л ь с т в е н н ы й	н е п р а в и т е л ь с т в е н н о й	н е п р а в и т е л ь с т в е н н о й
V PRS 3 SG т р е п е т а т ь	т р е п е щ е т	т р е п е щ и т
N GEN SG а л ф а в и т н ы й п о р я д о к	а л ф а в и т н о г о п о р я д к а	а л ф а в и т н о г о п о р я д к а
V PRS 3 SG в з в а л и в а т ь	в з в а л и в а е т	в з в а л и в а е т
V IMP 2 SG о т о з в а т ь	о т з о в и	о т о з в и
V.PTCP INS PL п о т е р я н н ы й	п о т е р я н н ы м и	п о т е р я н н ы м и
ADJ NEUT SG LGSPEC1 и н и ц и а т и в н ы й	и н и ц и а т и в н о	и н и ц и а т и в н о
ADJ DAT FEM SG о т в е т н ы й	о т в е т н о й	о т в е т н о й
ADJ INS FEM SG н е р е а л ь н ы й	н е р е а л ь н о й	н е р е а л ь н о й
ADJ INS NEUT SG б л а г о л е п н ы й	б л а г о л е п н ы м	б л а г о л е п н ы м
V.PTCP ACT PST в е р н у т ь	в е р н у в ш и й	в е р н у в ш и й
N ACC SG р ы з а р п о н	р ы з а р п о н	р ы з а р п о н
N GEN PL б у л ь д о г	б у л ь д о г о в	б у л ь д о г о в
N DAT PL з а д е р ж к а	з а д е р ж к а м	з а д е р ж к а м
V FUT 2 PL о с а ж и в а т ь	б у д е т е о с а ж и в а т ь	б у д е т е о с а ж и в а т ь
V FUT 2 SG п о с к а к а т ь	п о с к а ч е ш ь	п о с к а ч е ш ь
V.PTCP ACT PST у б р а т ь с я	у б р а в ш и й с я	у б р а в ш и й с я
ADJ INAN ACC MASC SG д о с т и ж и м ы й	д о с т и ж и м ы й	д о с т и ж и м ы й
N GEN SG г р о х о т	г р о х о т а	г р о х о т а
ADJ INS NEUT SG а н т и г е н н ы й	а н т и г е н н ы м	а н т и г е н н ы м
V PST PL с м е ш и т ь	с м е ш и л и	с м е ш и л и
N NOM PL ц и т о п л а з м а	ц и т о п л а з м ы	ц и т о п л а з м ы
V FUT 1 SG п о ч и в а т ь	б у д у п о ч и в а т ь	б у д у п о ч и в а т ь
N INS PL с л о в а ч к а	с л о в а ч к а м и	с л о в а ч к а м и
N ESS SG к о м а н д и р о в к а	к о м а н д и р о в к е	к о м а н д и р о в к е
N NOM SG б е л о р у с с к и й я з ы к	б е л о р у с с к и й я з ы к	б е л о р у с с к и й я з ы к
ADJ ESS NEUT SG д и а л е к т н ы й	д и а л е к т н о м	д и а л е к т н о м
N ESS SG р и ф м а	р и ф м е	р и ф м е
V PRS 1 SG п р ы с к а т ь	п р ы щ у	п р ы с к а ю
V IMP 2 SG у г р о б и т ь	у г р о б ь	у г р о б ь
N INS PL у с	у с а м и	у с а м и
V.CVB PRS н а к а ч и в а т ь	н а к а ч и в а я	н а к а ч и в а я
ADJ NOM MASC SG л а з у р н ы й	л а з у р н ы й	л а з у р н ы й
ADJ PL LGSPEC1 м ы с л е н н ы й	м ы с л е н н ы	м ы с л е н н ы
N NOM SG к л и е н т у р а	к л и е н т у р а	к л и е н т у р а
N GEN SG ш л и х	ш л и х а	ш л и х а
N ACC PL к а п и т а л о в л о ж е н и е	к а п и т а л о в л о ж е н и я	к а п и т а л о в л о ж е н и я
ADJ ACC FEM SG р в а н ы й	р в а н у ю	р в а н у ю
N DAT PL с а з а н д а р ь	с а з а н д а р я м	с а з а н д а р я м
ADJ GEN MASC SG к о н с у л ь т а т и в н ы й	к о н с у л ь т а т и в н о г о	к о н с у л ь т а т и в н о г о
N DAT PL а а к	а а к а м	а а к а м
N NOM SG з и м н я я с п я ч к а	з и м н я я с п я ч к а	з и м н я я с п я ч к а
V NFIN о п е ч а т а т ь	о п е ч а т а т ь	о п е ч а т а т ь
N DAT PL т я г о т а	т я г о т а м	т я г о т а м
V PST SG MASC в л о ж и т ь	в л о ж и л	в л о ж и л
V FUT 2 SG в я к а т ь	б у д е ш ь в я к а т ь	б у д е ш ь в я к а т ь
N GEN SG а г в а н с к и й	а г в а н с к о г о	а г в а н с к о г о
ADJ ACC FEM SG с е м п л е р н ы й	с е м п л е р н у ю	с е м п л е р н у ю
V FUT 2 PL р а з г у л я т ь	р а з г у л я е т е	б у д е т е р а з г у л я т ь
N DAT PL р а з в р а т н и ц а	р а з в р а т н и ц а м	р а з в р а т н и ц а м
N GEN PL к и т е л ь	к и т е л е й	к и т е л е й
ADJ GEN MASC SG р а з р ы в н ы й	р а з р ы в н о г о	р а з р ы в н о г о
N ACC PL у к а з а т е л ь н о е м е с т о и м е н и е	у к а з а т е л ь н ы е м е с т о и м е н и я	у к а з а т е л ь н ы х м е с т о и м е н и я
N NOM PL с и г и л л о г р а ф и я	с и г и л л о г р а ф и и	с и г и л л о г р а ф и и
N DAT PL с к р у п у л ё з н о с т ь	с к р у п у л ё з н о с т я м	с к р у п у л ё з н о с т я м
V PRS 2 PL м а р и н о в а т ь	м а р и н у е т е	м а р и н у е т е
N DAT PL н е м к а	н е м к а м	н е м к а м
N DAT PL х и р у р г	х и р у р г а м	х и р у р г а м
N NOM PL т р е т ь я	т р е т ь и	т р е т ь и
